word,level,variant
convey,elective,
convince,elective,
cook,base,
cookie,base,
cool,base,
cooperate,base,
copy,base,
core,elective,
corn,base,
corner,base,
corporate,elective,
correct,base,
correspond,elective,
cost,base,
costume,elective,
cottage,elective,
cotton,base,
cough,base,
could,base,
council,elective,
count,base,
country,base,
countryside,base,
county,required,
couple,base,
courage,base,
course,base,
court,required,
cousin,base,
cover,base,
coverage,elective,
cow,base,
craft,elective,
crash,required,
crazy,base,
cream,elective,
create,base,
creative,base,
creature,elective,
credit,required,
crew,elective,
crime,elective,
crisis,elective,
criterion,elective,
critical,elective,
criticise,base,
(criticize),elective,
crop,elective,
cross,base,
crowd,required,
crowded,base,
crucial,elective,
cruel,elective,
cry,base,
cucumber,base,
cuisine,elective,
culture,base,
cup,base,
cupboard,elective,
cure,required,
curious,base,
currency,elective,
current,required,
curtain,elective,
curve,required,
custom,required,
customer,base,
cut,base,
cute,base,
cycle,elective,
daily,base,
dam,required,
damage,elective,
damp,elective,
dance,base,
danger,base,
dangerous,base,
dare,elective,
dark,base,
data,required,
database,elective,
date,base,
daughter,base,
dawn,required,
day,base,
dead,base,
deadline,elective,
deaf,base,
deal,base,
dear,base,
death,base,
debate,elective,
debt,elective,
decade,elective,
decent,elective,
decide,base,
decision,required,
declare,required,
decline,elective,
decorate,required,
decrease,elective,
dedicate,elective,
deep,base,
deer,required,
defeat,elective,
defence,required,
defend,elective,
definitely,required,
definition,elective,
degree,base,
delay,elective,
delete,elective,
delicate,elective,
delicious,base,
delight,required,
deliver,required,
demand,elective,
demonstrate,elective,
dentist,base,
deny,elective,
department,elective,
departure,elective,
depend,base,
depress,elective,
depth,elective,
describe,base,
description,required,
desert,base,
deserve,elective,
design,base,
desire,required,
desk,base,
desperate,elective,
despite,required,
dessert,elective,
destination,required,
destroy,required,
detail,required,
detect,elective,
detective,elective,
determine,required,
develop,base,
development,required,
device,elective,
devote,elective,
diagram,required,
dialogue,base,
(dialog),base,
diamond,elective,
diary,base,
dictionary,base,
die,base,
diet,base,
differ,elective,
difference,base,
different,base,
difficult,base,
difficulty,required,
dig,base,
digest,elective,
digital,base,
dignity,elective,
dimension,elective,
dining,base,
dinner,base,
dinosaur,required,
direct,base,
direction,required,
director,base,
directory,elective,
dirty,base,
disability,elective,
disabled,elective,
disappear,required,
disappoint,base,
disappointed,elective,
disaster,base,
discipline,elective,
discount,elective,
discover,base,
discovery,required,
discrimination,elective,
discuss,base,
discussion,required,
disease,base,
dish,base,
disc,base,
(disk),elective,
dismiss,elective,
display,elective,
distance,required,
distant,elective,
distinct,elective,
distinguish,elective,
distribution,elective,
district,elective,
disturb,elective,
dive,elective,
diverse,elective,
divide,base,
division,elective,
dizzy,elective,
do,base,
doctor,base,
document,required,
dog,base,
doll,base,
dollar,base,
dolphin,required,
domain,elective,
domestic,elective,
dominate,elective,
donate,base,
door,base,
dormitory,elective,
double,base,
doubt,base,
down,base,
download,base,
downstairs,required,
downtown,required,
dozen,elective,
draft,elective,
drag,elective,
dragon,base,
drama,base,
dramatic,elective,
draw,base,
drawer,elective,
dream,base,
dress,base,
drill,elective,
drink,base,
drive,base,
driver,base,
drone,required,
drop,base,
drought,required,
drown,required,
drug,elective,
dry,base,
duck,base,
due,base,
to,required,
dumpling,base,
duration,elective,
during,base,
dust,elective,
duty,base,
dynamic,elective,
dynasty,elective,
each,base,
eager,required,
eagle,base,
ear,base,
early,base,
earn,required,
earth,base,
earthquake,base,
ease,elective,
east,base,
eastern,required,
easy,base,
eat,base,
ecology,elective,
economic,elective,
economy,required,
edge,elective,
editor,required,
education,base,
educator,elective,
effect,base,
efficient,elective,
effort,base,
egg,base,
either,base,
elder,base,
elderly,elective,
election,elective,
electric,base,
electricity,required,
electronic,base,
elegant,elective,
element,required,
elephant,base,
elevator,required,
eliminate,elective,
else,base,
elsewhere,elective,
email,base,
embarrassed,elective,
emerge,elective,
emergency,base,
emotion,elective,
empathy,elective,
emperor,base,
empress,base,
emphasis,elective,
employ,elective,
empty,base,
enable,required,
encounter,elective,
encourage,base,
end,base,
endangered,elective,
enemy,base,
energetic,base,
energy,base,
engage,elective,
engine,required,
engineer,base,
English,base,
enhance,elective,
enjoy,base,
enormous,elective,
enough,base,
ensure,required,
enter,base,
enterprise,elective,
entertainment,elective,
enthusiastic,elective,
entirely,required,
entitle,elective,
entrance,required,
entry,elective,
envelope,required,
environment,base,
envy,elective,
episode,elective,
equal,required,
equator,elective,
equipment,required,
era,base,
eraser,base,
error,required,
erupt,required,
escape,required,
especially,base,
essay,elective,
essential,elective,
establish,required,
estate,elective,
estimate,elective,
ethical,elective,
ethnic,elective,
Europe,required,
evaluate,elective,
eve,required,
even,base,
evening,base,
event,base,
eventually,required,
ever,base,
every,base,
everybody,base,
everyone,base,
everyday,base,
everything,base,
everywhere,base,
evidence,elective,
evolve,elective,
exactly,base,
exam,base,
(=examination),base,
examine,elective,
example,base,
exceed,elective,
excellent,base,
except,base,
exceptional,elective,
exchange,required,
excited,base,
exciting,base,
excuse,base,
exercise,base,
exhaust,elective,
exhibition,elective,
exist,required,
exit,required,
expand,elective,
expansion,elective,
expect,base,
expectation,elective,
expense,elective,
expensive,base,
experience,base,
experiment,required,
expert,base,
explain,base,
explode,elective,
explore,base,
export,required,
expose,elective,
exposure,elective,
express,base,
extend,elective,
extension,elective,
extent,required,
external,required,
extinction,required,
extra,required,
extraordinary,elective,
extremely,required,
eye,base,
fable,required,
fabric,elective,
face,base,
facilitate,elective,
facility,required,
fact,base,
factor,required,
factory,base,
fail,base,
failure,required,
faint,elective,
fair,base,
faith,elective,
fall,base,
false,base,
familiar,base,
family,base,
famous,base,
fan,base,
fancy,required,
fantastic,base,
fantasy,elective,
far,base,
farm,base,
farmer,base,
fascinating,elective,
fashion,base,
fast,base,
fat,base,
father,base,
(dad),base,
fault,elective,
favour,base,
(favor),elective,
favourite,base,
(favorite),base,
fear,base,
feature,required,
fee,elective,
feed,base,
feel,base,
feeling,base,
fellow,elective,
female,required,
fence,elective,
fertile,required,
festival,base,
fetch,elective,
fever,base,
few,base,
fibre,elective,
fiction,elective,
field,base,
fight,base,
figure,required,
file,required,
fill,base,
film,base,
final,base,
finally,required,
finance,elective,
financial,elective,
find,base,
finding,elective,
fine,base,
finger,base,
finish,base,
fire,base,
fireman,base,
firework,base,
firm,elective,
fish,base,
fisherman,required,
fist,elective,
fit,base,
fix,base,
flag,base,
flame,elective,
flash,required,
flat,base,
flavour,base,
(flavor),elective,
flexible,required,
flight,required,
float,required,
flood,base,
floor,base,
flour,elective,
flow,elective,
flower,base,
flu,base,
fluent,elective,
fly,base,
focus,base,
fog,base,
fold,elective,
folk,base,
follow,base,
fond,elective,
food,base,
fool,base,
